label,z_m,z_mm,x_m,x_mm,w_cfd,t_cfd,w_pinn,t_pinn,w_err,t_err
line-z-10,0.01,10.0,0.0335552,33.5552,6.57605,1140.1,6.062858659003754,1074.5521079273906,0.5131913409962463,65.54789207260933
line-z-10,0.01,10.0,0.0336406,33.6406,6.54118,1140.05,6.053987533479569,1075.4096965130982,0.4871924665204306,64.64030348690176
line-z-10,0.01,10.0,0.0351596,35.1596,5.70725,1137.18,5.97087154935949,1092.5412633501844,0.26362154935949,44.638736649815655
line-z-10,0.01,10.0,0.0352409,35.240899999999996,5.71312,1137.57,5.971905283669866,1093.4881902487368,0.25878528366986586,44.08180975126311
line-z-10,0.01,10.0,0.0353875,35.3875,5.72372,1138.27,5.973769311343924,1095.195686968636,0.2500493113439237,43.074313031364
line-z-10,0.01,10.0,0.035597,35.596999999999994,5.75438,1138.68,5.989239360248348,1097.4463971162693,0.23485936024834775,41.23360288373078
line-z-10,0.01,10.0,0.0358993,35.899300000000004,5.7986,1139.26,6.015620142476716,1100.6317921013335,0.21702014247671553,38.62820789866646
line-z-10,0.01,10.0,0.0368962,36.8962,6.17429,1143.27,6.286541351049103,1108.0527577320772,0.11225135104910322,35.21724226792276
line-z-10,0.01,10.0,0.0372885,37.2885,6.17957,1141.7,6.483064157037202,1109.5489648724727,0.3034941570372016,32.15103512752739
line-z-10,0.01,10.0,0.0377378,37.7378,6.39998,1139.17,6.802170888900811,1110.0186096679688,0.4021908889008108,29.15139033203127
line-z-10,0.01,10.0,0.0379266,37.9266,6.35986,1136.82,6.9768919759638655,1109.7972370806524,0.6170319759638652,27.022762919347542
line-z-10,0.01,10.0,0.0381031,38.1031,6.51024,1135.55,7.150041922120511,1109.4903138413372,0.6398019221205118,26.05968615866277
line-z-10,0.01,10.0,0.0387649,38.7649,7.07428,1130.77,7.970598843664318,1107.1550665326286,0.8963188436643179,23.61493346737143
line-z-10,0.01,10.0,0.03886,38.86,7.14973,1129.67,8.124139569226477,1106.6290774356617,0.9744095692264771,23.040922564338416
line-z-10,0.01,10.0,0.0406253,40.6253,8.68131,1111.59,11.362144458030263,1086.8391525361897,2.6808344580302634,24.75084746381026
line-z-10,0.01,10.0,0.0406819,40.6819,8.73642,1111.25,11.400418887665703,1084.665116558478,2.663998887665702,26.584883441521924
line-z-10,0.01,10.0,0.041151,41.151,9.14134,1097.68,11.547232080571721,1063.888745145907,2.4058920805717214,33.79125485409304
line-z-10,0.01,10.0,0.0411539,41.1539,9.14382,1097.6,11.541890077680629,1063.6591549546154,2.3980700776806287,33.94084504538455
line-z-10,0.01,10.0,0.0413763,41.3763,9.20406,1085.12,11.132213718032752,1046.051962353512,1.9281537180327515,39.06803764648794
